ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
AGAF,small_airport,Afutara Aerodrome,23,OC,SB,SB-ML,Bila,AGAF,AFT,AGAF,,"-9.191389, 160.948611"
AGAR,small_airport,Ulawa Airport,40,OC,SB,SB-MK,Arona,AGAR,RNA,AGAR,,"-9.86054358262, 161.979546547"
AGAT,small_airport,Uru Harbour Airport,,OC,SB,SB-ML,Atoifi,AGAT,ATD,AGAT,,"-8.87333, 161.011002"
AGBA,small_airport,Barakoma Airport,,OC,SB,SB-WE,Barakoma,AGBA,VEV,AGBA,,"-7.912779808044434, 156.70599365234375"
AGBT,small_airport,Batuna Aerodrome,24,OC,SB,SB-WE,Batuna Mission Station,AGBT,BPF,AGBT,,"-8.56202777778, 158.119305556"
AGEV,small_airport,Geva Airport,,OC,SB,SB-WE,Liangia,AGEV,GEF,AGEV,,"-7.575829982757568, 156.5970001220703"
AGGA,small_airport,Gwaunaru'u Airport,5,OC,SB,SB-ML,Auki,AGGA,AKS,AGGA,,"-8.70257, 160.682007"
AGGB,small_airport,Bellona/Anua Airport,60,OC,SB,SB-RB,Anua,AGGB,BNY,AGGB,,"-11.302222222200001, 159.798333333"
AGGC,small_airport,Choiseul Bay Airport,,OC,SB,SB-CH,Choiseul Bay,AGGC,CHY,AGGC,,"-6.711944, 156.396111"
AGGE,small_airport,Ballalae Airport,5,OC,SB,SB-WE,Ballalae,AGGE,BAS,AGGE,,"-6.990745, 155.886656"
AGGF,small_airport,Fera/Maringe Airport,,OC,SB,SB-IS,Fera Island,AGGF,FRE,AGGF,,"-8.1075, 159.576996"
AGGH,large_airport,Honiara International Airport,28,OC,SB,SB-GU,Honiara,AGGH,HIR,AGGH,,"-9.428, 160.054993"
AGGI,small_airport,Babanakira Airport,,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,AGGI,,"-9.7475, 159.839005"
AGGJ,small_airport,Avu Avu Airport,25,OC,SB,SB-GU,Avu Avu,AGGJ,AVU,AGGJ,,"-9.868333, 160.410556"
AGGK,small_airport,Ngorangora Airport,54,OC,SB,SB-MK,Kirakira,AGGK,IRA,AGGK,,"-10.449700355500001, 161.897994995"
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,AGGL,,"-10.7203, 165.794998"
AGGM,medium_airport,Munda Airport,10,OC,SB,SB-WE,Munda,AGGM,MUA,AGGM,,"-8.32797, 157.263"
AGGN,small_airport,Nusatupe Airport,13,OC,SB,SB-WE,Gizo,AGGN,GZO,AGGN,,"-8.09778022766, 156.863998413"
AGGO,small_airport,Mono Airport,,OC,SB,SB-WE,Stirling Island,AGGO,MNY,AGGO,,"-7.416940212249756, 155.56500244140625"
AGGP,small_airport,Parasi Airport,,OC,SB,SB-ML,Parasi,AGGP,PRS,AGGP,,"-9.641670227050781, 161.4250030517578"
AGGR,small_airport,Rennell/Tingoa Airport,,OC,SB,SB-RB,Rennell Island,AGGR,RNL,AGGR,,"-11.55, 160.062778"
AGGS,small_airport,Sege Airport,,OC,SB,SB-WE,Sege,AGGS,EGM,AGGS,,"-8.57889, 157.876007"
AGGT,small_airport,Santa Ana Airport,3,OC,SB,SB-MK,Santa Ana Island,AGGT,NNB,AGGT,,"-10.847994, 162.454108"
AGGU,small_airport,Marau Airport,,OC,SB,SB-GU,Marau,AGGU,RUS,AGGU,,"-9.861669540409999, 160.824996948"
AGGV,small_airport,Suavanao Airport,,OC,SB,SB-IS,Suavanao,AGGV,VAO,AGGV,,"-7.58556, 158.731003"
AGGY,small_airport,Yandina Airport,60,OC,SB,SB-CE,Yandina,AGGY,XYA,AGGY,,"-9.092816, 159.21841"
AGKG,small_airport,Kaghau Airport,30,OC,SB,SB-CH,Kagau Island,AGKG,KGE,AGKG,,"-7.3305, 157.585"
AGKU,small_airport,Kukudu Airport,32,OC,SB,SB-WE,Kolombangara Island,AGKU,KUE,AGKU,,"-8.0262, 156.94783"
AGKW,small_airport,Kwailabesi Airport,52,OC,SB,SB-ML,Kwailabesi,AGKW,KWS,AGKW,,"-8.360508, 160.775127"
AGLM,small_airport,Lomlom Airport,55,OC,SB,SB-TE,Lomlom,AGLM,LLM,AGLM,,"-10.296828, 166.327322"
AGNA,small_airport,Nana Airport,60,OC,SB,SB-MK,Star Harbor,AGNA,NAZ,AGNA,,"-10.6758, 162.2049"
AGOB,small_airport,Manaoba Airport,14,OC,SB,SB-ML,Manaoba,AGOB,MHM,AGOB,,"-8.325008, 160.80051"
AGOK,small_airport,Gatokae Aerodrome,70,OC,SB,SB-WE,Gatokae,AGOK,GTA,AGOK,,"-8.738358, 158.202836"
AGRC,small_airport,Ringi Cove Airport,,OC,SB,SB-WE,Ringi Cove,AGRC,RIN,AGRC,,"-8.12639045715332, 157.14300537109375"
AGRM,small_airport,Ramata Airport,,OC,SB,SB-WE,Ramata,AGRM,RBV,AGRM,,"-8.168060302734375, 157.64300537109375"
AGTI,heliport,Tulaghi Heliport,3,OC,SB,SB-CE,Tulaghi Island,AGTI,TLG,AGTI,,"-9.108, 160.149166667"
ANYN,medium_airport,Nauru International Airport,22,OC,NR,NR-14,Yaren District,ANYN,INU,ANYN,,"-0.547458, 166.919006"
AYAA,small_airport,Ama Airport,145,OC,PG,PG-ESW,,AYAA,AMF,AYAA,AMA,"-4.10111111111, 141.67"
AYAE,small_airport,Mount Aue Airport,4250,OC,PG,PG-JWK,Aue,AYAE,UAE,AYAE,AUE,"-6.229978, 144.664181"
AYAF,small_airport,Afore Airstrip,2500,OC,PG,PG-NPP,Afore,AYAF,AFR,AYAF,AFE,"-9.13867, 148.390701"
AYAG,small_airport,Agaun Airport,3200,OC,PG,PG-MBA,Agaun,AYAG,AUP,AYAG,AUN,"-9.927715, 149.389951"
AYAI,small_airport,Aitape Airport,10,OC,PG,PG-SAN,Aitape,AYAI,ATP,AYAI,APE,"-3.143611, 142.346806"
AYAK,small_airport,Aiambak Airport,90,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AYAK,AMB,"-7.342777777779999, 141.2675"
AYAM,small_airport,Amanab Airport,1307,OC,PG,PG-SAN,Amanab,AYAM,AMU,AYAM,ANA,"-3.586, 141.214333333"
AYAN,small_airport,Andakombe Airport,3600,OC,PG,PG-EHG,Andekombe,AYAN,ADC,AYAN,ADK,"-7.13722222222, 145.744722222"
AYAO,small_airport,Aiome Airport,350,OC,PG,PG-MPM,Aiome,AYAO,AIE,AYAO,AIO,"-5.145699978, 144.7307003"
AYAQ,small_airport,Kompiam Airport,5100,OC,PG,PG-EPW,,AYAQ,KPM,AYAQ,KOM,"-5.38166666667, 143.924722222"
AYAT,small_airport,Ambunti Airport,50,OC,PG,PG-ESW,Ambunti,AYAT,AUJ,AYAT,AMI,"-4.21566666667, 142.823166667"
AYAW,small_airport,Awaba Airport,32,OC,PG,PG-WPD,Awaba,AYAW,AWB,AYAW,AWB,"-8.013414, 142.752099"
AYAX,small_airport,Aseki Airport,4106,OC,PG,PG-MPL,Aseki,AYAX,AEK,AYAX,ASE,"-7.350805, 146.193994"
AYAY,small_airport,Aiyura Airport,5355,OC,PG,PG-EHG,Aiyura Valley,AYAY,AYU,AYAY,AYU,"-6.33805555556, 145.904166667"
AYBA,medium_airport,Baimuru Airport,27,OC,PG,PG-GPK,Baimuru,AYBA,VMU,AYBA,BMU,"-7.49686002731, 144.819900513"
AYBC,small_airport,Bambu Airport,6790,OC,PG,PG-MPM,Bambu,AYBC,BCP,AYBC,BAM,"-5.863611111110001, 146.4925"
AYBD,small_airport,Bodinumu Airport,3700,OC,PG,PG-CPM,Bodinumu,AYBD,BNM,AYBD,BNU,"-9.107777777779999, 147.666722222"
AYBF,small_airport,Bamu Airport,50,OC,PG,PG-WPD,Bamu,AYBF,BMZ,AYBF,BAMU,"-7.8485, 143.2433"
AYBG,small_airport,Baindoung Airport,4400,OC,PG,PG-MPL,,AYBG,BDZ,AYBG,BDO,"-6.34722222222, 146.942222222"
AYBH,small_airport,Bensbach Airport,30,OC,PG,PG-WPD,Bensbach,AYBH,BSP,AYBH,BEN,"-8.85805555556, 141.259444444"
AYBI,small_airport,Bewani Airport,550,OC,PG,PG-SAN,Bewani,AYBI,BWP,AYBI,BEW,"-3.0216666666700003, 141.165277778"
AYBK,medium_airport,Buka Airport,11,OC,PG,PG-NSB,Buka Island,AYBK,BUA,AYBK,,"-5.4223198890686035, 154.67300415039062"
AYBL,small_airport,Bialla Airport,51,OC,PG,PG-WBK,"Bialla, Matalilu, Ewase",AYBL,BAA,AYBL,BIA,"-5.3305602073700005, 151.007995605"
AYBM,medium_airport,Balimo Airport,51,OC,PG,PG-WPD,Balimo,AYBM,OPU,AYBM,BLI,"-8.05000019073, 142.932998657"
AYBO,small_airport,Bomai Airport,3300,OC,PG,PG-CPK,Bomai,AYBO,BMH,AYBO,BOM,"-6.37316666667, 144.637"
AYBP,small_airport,Bapi Airstrip,2930,OC,PG,PG-MPL,Bapi,AYBP,BPD,AYBP,BAPI,"-7.743611111110001, 147.020555556"
AYBQ,small_airport,Biangabip Airport,1069,OC,PG,PG-WPD,Biangabip,AYBQ,BPK,AYBQ,BIP,"-5.526389, 141.744583"
AYBR,small_airport,Biaru Airport,4900,OC,PG,PG-MPL,Biaru,AYBR,BRP,AYBR,BRU,"-7.6693, 146.7594"
AYBU,small_airport,Bulolo Airport,2240,OC,PG,PG-MPL,Bulolo,AYBU,BUL,AYBU,BUO,"-7.216286671410001, 146.649541855"
AYBZ,small_airport,Biniguni Airport,215,OC,PG,PG-MBA,Biniguni,AYBZ,XBN,AYBZ,BNI,"-9.6425, 149.303889"
AYCB,small_airport,Chungribu Airport,108,OC,PG,PG-MPM,Chungribu,AYCB,CVB,AYCB,CBU,"-4.80662, 144.714996"
AYCG,small_airport,Cape Gloucester Airport,78,OC,PG,PG-WBK,Cape Gloucester,AYCG,CGC,AYCG,CPG,"-5.455231, 148.422289"
AYCH,medium_airport,Chimbu Airport,4974,OC,PG,PG-CPK,Kundiawa,AYCH,CMU,AYCH,,"-6.024290084838867, 144.9709930419922"
AYCS,small_airport,China Strait Airstrip,10,OC,PG,PG-MBA,Samarai Island,AYCS,SQT,AYCS,CHS,"-10.5627777778, 150.690694444"
AYDB,small_airport,Debepare Airport,360,OC,PG,PG-WPD,Debepare,AYDB,DBP,AYDB,DBP,"-6.30861111111, 141.905555556"
AYDE,small_airport,Derim Airport,4850,OC,PG,PG-MPL,Derim,AYDE,DER,AYDE,DEM,"-6.14472222222, 147.107222222"
AYDI,small_airport,Bundi Airport,4400,OC,PG,PG-MPM,Bundi,AYDI,BNT,AYDI,BDI,"-5.742222222220001, 145.2275"
AYDK,small_airport,Munduku Airport,100,OC,PG,PG-ESW,Munduku,AYDK,MDM,AYDK,MUN,"-4.6204, 143.4516"
AYDL,small_airport,Kondobol Airport,132,OC,PG,PG-WPD,Kondobol,AYDL,KPF,AYDL,KDB,"-8.5336, 142.5049"
AYDN,small_airport,Dinangat Airport,5309,OC,PG,PG-MPL,Dinangat,AYDN,DNU,AYDN,DIN,"-6.1546, 146.6772"
AYDO,small_airport,Doini Airport,31,OC,PG,PG-MBA,Castori Islets,AYDO,DOI,AYDO,DOI,"-10.7009, 150.7218"
AYDR,small_airport,Dorobisoro Airport,1767,OC,PG,PG-CPM,Dorobisoro,AYDR,DOO,AYDR,DOR,"-9.461855, 147.920907"
AYDU,medium_airport,Daru Airport,20,OC,PG,PG-WPD,Daru,AYDU,DAU,AYDU,,"-9.08676, 143.207993"
AYEA,small_airport,Kerau Airport,7360,OC,PG,PG-CPM,Gunim,AYEA,KRU,AYEA,KEU,"-8.271612, 147.071899"
AYEB,small_airport,Embessa Airport,131,OC,PG,PG-NPP,Embessa,AYEB,EMS,AYEB,EMB,"-9.447, 148.7628"
AYED,small_airport,Edwaki Airport,190,OC,PG,PG-SAN,Yellow River Mission,AYED,XYR,AYED,EWK,"-3.883986, 141.792234"
AYEE,small_airport,Emirau Airport,172,OC,PG,PG-NIK,Emirau Island,AYEE,EMI,AYEE,ERU,"-1.653949991, 149.9757667"
AYEF,small_airport,Efogi Airport,3900,OC,PG,PG-CPM,Efogi,AYEF,EFG,AYEF,EFO,"-9.15380555556, 147.659805556"
AYEH,small_airport,Morehead Airport,100,OC,PG,PG-WPD,Morehead,AYEH,MHY,AYEH,MHD,"-8.71411111111, 141.644444444"
AYEL,small_airport,Eliptamin Airport,4825,OC,PG,PG-SAN,Eliptamin,AYEL,EPT,AYEL,ELP,"-5.0412, 141.6779"
AYEN,small_airport,Engati Airstrip,3715,OC,PG,PG-MPL,Engati,AYEN,EGA,AYEN,EGT,"-6.9179, 146.1053"
AYEO,small_airport,Emo River Airstrip,2240,OC,PG,PG-NPP,Emo Mission,AYEO,EMO,AYEO,EMO,"-9.1234, 148.0415"
AYER,small_airport,Erume Airport,6690,OC,PG,PG-CPM,Erume,AYER,ERU,AYER,EME,"-8.2538, 146.9747"
AYET,small_airport,Bosset Airport,80,OC,PG,PG-WPD,Bosset,AYET,BOT,AYET,BST,"-7.237257, 141.1063222"
AYEV,small_airport,Erave Airport,3650,OC,PG,PG-SHM,Erave,AYEV,ERE,AYEV,ERV,"-6.60646315446, 143.900213242"
AYEW,small_airport,Siwea Airport,5960,OC,PG,PG-MPL,Siwea,AYEW,SWE,AYEW,SIW,"-6.284181, 147.582371"
AYFA,small_airport,Fane Airport,4500,OC,PG,PG-CPM,Fane Mission,AYFA,FNE,AYFA,FANE,"-8.54927777778, 147.085833333"
AYFI,small_airport,Finschhafen Airport,60,OC,PG,PG-MPL,Buki,AYFI,FIN,AYFI,FIN,"-6.621750109, 147.85405"
AYFR,small_airport,Frieda River Airport,217,OC,PG,PG-ESW,Frieda River,AYFR,FAQ,AYFR,FRR,"-4.610468, 141.960138"
AYFU,small_airport,Fuma Airport,466,OC,PG,PG-WPD,Fuma,AYFU,FUM,AYFU,FUMA,"-6.3933, 142.4408"
AYGA,medium_airport,Goroka Airport,5282,OC,PG,PG-EHG,Goronka,AYGA,GKA,AYGA,,"-6.081689834590001, 145.391998291"
AYGC,small_airport,Gewoia Airport,340,OC,PG,PG-NPP,Gewoia,AYGC,GEW,AYGC,GEW,"-9.2263, 148.4949"
AYGF,small_airport,Guari Airport,6450,OC,PG,PG-CPM,Guari,AYGF,GUG,AYGF,GAI,"-8.1286, 146.8722"
AYGG,small_airport,Garasa Airport,2539,OC,PG,PG-MPL,Au,AYGG,GRL,AYGG,GSA,"-7.980713, 147.213461"
AYGI,small_airport,Garaina Airport,2497,OC,PG,PG-MPL,Garaina,AYGI,GAR,AYGI,GNA,"-7.875625, 147.141266"
AYGJ,small_airport,Guasopa Airport,10,OC,PG,PG-MBA,Woodlark (Muyua) Island,AYGJ,GAZ,AYGJ,GPA,"-9.225918, 152.944352"
AYGL,small_airport,Gonaili Airport,40,OC,PG,PG-EBR,Gonaili,AYGL,GOE,AYGL,GON,"-5.527716614, 151.5733333"
AYGN,medium_airport,Gurney Airport,88,OC,PG,PG-MBA,Gurney,AYGN,GUR,AYGN,,"-10.3114995956, 150.333999634"
AYGP,small_airport,Gusap Airport,1504,OC,PG,PG-MPL,Gusap,AYGP,GAP,AYGP,GSP,"-6.053196, 145.959047"
AYGR,medium_airport,Girua Airport,311,OC,PG,PG-NPP,Popondetta,AYGR,PNP,AYGR,,"-8.80453968048, 148.309005737"
AYGS,small_airport,Gasuke Airport,157,OC,PG,PG-WPD,Gasuke,AYGS,GBC,AYGS,GSK,"-6.1028, 141.7393"
AYGT,small_airport,Gasmata Island Airport,23,OC,PG,PG-WBK,Gasmata Island,AYGT,GMI,AYGT,GMA,"-6.27111005783, 150.330993652"
AYGU,small_airport,Anguganak Airport,937,OC,PG,PG-SAN,Anguganak,AYGU,AKG,AYGU,AGK,"-3.560504, 142.217307"
AYGV,small_airport,Green River Airport,281,OC,PG,PG-SAN,Green River,AYGV,GVI,AYGV,GRN,"-3.9022428989400004, 141.170516968"
AYGX,small_airport,Gora Airstrip,2497,OC,PG,PG-NPP,Gora,AYGX,GOC,AYGX,GORA,"-9.0021, 148.2364"
AYHB,small_airport,Habi Airport,993,OC,PG,PG-WPD,Habi,AYHB,HBD,AYHB,HABI,"-6.32, 142.4893"
AYHE,small_airport,Heiweni Airport,3480,OC,PG,PG-MPL,Heiweni,AYHE,HNI,AYHE,HWI,"-7.4223, 146.4276"
AYHF,small_airport,Hayfields Airport,466,OC,PG,PG-ESW,Bainyik,AYHF,HYF,AYHF,HFD,"-3.69838, 143.057902"
AYHH,small_airport,Honinabi Airport,452,OC,PG,PG-WPD,Honinabi,AYHH,HNN,AYHH,HBI,"-6.2457, 142.1771"
AYHK,medium_airport,Hoskins Airport,66,OC,PG,PG-WBK,Kimbe,AYHK,HKN,AYHK,,"-5.463846, 150.407327"
AYHO,small_airport,Haivaro Airport,180,OC,PG,PG-GPK,Haivaro,AYHO,HIT,AYHO,HWO,"-6.9406, 143.059"
AYHU,small_airport,Hawabango Airport,4563,OC,PG,PG-GPK,Hawabango,AYHU,HWA,AYHU,HBA,"-7.392994, 146.003487"
AYIA,small_airport,Nissan Island Airport,52,OC,PG,PG-NSB,Nissan Island,AYIA,IIS,AYIA,NIS,"-4.49972009659, 154.225997925"
AYID,small_airport,Indagen Airport,5788,OC,PG,PG-MPL,Indagen,AYID,IDN,AYID,IGN,"-6.22663, 147.244"
AYII,small_airport,Imane Airport,3860,OC,PG,PG-MPL,Imane,AYII,IMN,AYII,IMN,"-6.7524, 146.1072"
AYIM,small_airport,Kungim Airport,349,OC,PG,PG-WPD,Kungim,AYIM,KGM,AYIM,KNM,"-5.671, 141.03"
AYIO,small_airport,Imonda Airport,990,OC,PG,PG-SAN,Imonda,AYIO,IMD,AYIO,IMO,"-3.328, 141.1573"
AYIQ,small_airport,Aropa Airport,20,OC,PG,PG-NSB,Kieta,AYIQ,KIE,AYIQ,KIA,"-6.305417, 155.728139"
AYIW,small_airport,Wasua Airport,45,OC,PG,PG-WPD,Wasua,AYIW,WSA,AYIW,WAA,"-8.2836, 142.8697"
AYIX,small_airport,Witu Airport,25,OC,PG,PG-WBK,Garove Island,AYIX,WIU,AYIX,WITU,"-4.689522, 149.440112"
AYIY,small_airport,Miyanmin Airport,2500,OC,PG,PG-SAN,Miyanmin,AYIY,MPX,AYIY,MIM,"-4.903055555560001, 141.620833333"
AYJO,small_airport,Yongai Airport,6500,OC,PG,PG-CPM,Yongai,AYJO,KGH,AYJO,YON,"-8.5289, 147.4603"
AYJS,small_airport,Josephstaal Airport,250,OC,PG,PG-MPM,Josephstaal,AYJS,JOP,AYJS,JSL,"-4.74708333333, 145.007083333"
AYKA,small_airport,Losuia Airport,27,OC,PG,PG-MBA,Losuia,AYKA,LSA,AYKA,,"-8.505820274353027, 151.08099365234375"
AYKB,small_airport,Kabwum,4450,OC,PG,PG-MPL,,AYKB,KBM,AYKB,KBM,"-6.15547222222, 147.191472222"
AYKC,small_airport,Kandrian Airport,280,OC,PG,PG-WBK,Kandrian,AYKC,KDR,AYKC,KDR,"-6.19217, 149.54783"
AYKD,small_airport,Kamina Airport,2157,OC,PG,PG-GPK,Hoieti,AYKD,KMF,AYKD,KMN,"-7.64925, 145.956944444"
AYKG,small_airport,Kopiago Airport,4445,OC,PG,PG-HLA,Kopiago,AYKG,KPA,AYKG,KGO,"-5.3883, 142.4977"
AYKH,small_airport,Kamulai Airport,5800,OC,PG,PG-CPM,Kamulai Mission,AYKH,KAQ,AYKH,KML,"-8.150694444440001, 146.834"
AYKI,small_airport,Kiunga Airport,88,OC,PG,PG-WPD,Kiunga,AYKI,UNG,AYKI,,"-6.1257100105285645, 141.28199768066406"
AYKJ,small_airport,Kanainj Airport,4064,OC,PG,PG-MPM,Kanainj,AYKJ,KNE,AYKJ,KNJ,"-5.2903, 144.7072"
AYKK,small_airport,Kikori Airport,50,OC,PG,PG-GPK,Kikori,AYKK,KRI,AYKK,,"-7.42438, 144.250076"
AYKM,medium_airport,Kerema Airport,10,OC,PG,PG-GPK,Kerema,AYKM,KMA,AYKM,,"-7.96361017227, 145.770996094"
AYKO,small_airport,Kokoda Airport,1240,OC,PG,PG-NPP,Kokoda,AYKO,KKD,AYKO,KOK,"-8.884679, 147.730957"
AYKQ,small_airport,Kagi Airport,4200,OC,PG,PG-CPM,Kagi,AYKQ,KGW,AYKQ,KAGI,"-9.135916666670001, 147.669444444"
AYKR,small_airport,Kar Kar Airport,130,OC,PG,PG-MPM,Kar Kar Island,AYKR,KRX,AYKR,KKR,"-4.557, 145.9404"
AYKT,small_airport,Kaintiba Airport,2050,OC,PG,PG-GPK,Kaintiba,AYKT,KZF,AYKT,KNT,"-7.50025, 146.033833333"
AYKU,small_airport,Kuri Airport,35,OC,PG,PG-GPK,Kuri,AYKU,KUQ,AYKU,KURI,"-7.135083, 143.276111"
AYKV,medium_airport,Kavieng Airport,7,OC,PG,PG-NIK,Kavieng,AYKV,KVG,AYKV,,"-2.57940006256, 150.807998657"
AYKW,small_airport,Kawito Airport,72,OC,PG,PG-WPD,Kawito,AYKW,KWO,AYKW,KWT,"-7.977006912229999, 142.823577881"
AYKY,small_airport,Londolovit Airport,167,OC,PG,PG-NIK,Londolovit,AYKY,LNV,AYKY,,"-3.04361009598, 152.628997803"
AYLB,small_airport,Lab Lab Airport,160,OC,PG,PG-MPL,Lab Lab Mission,AYLB,LAB,AYLB,LAB,"-5.7204, 148.0566"
AYLG,small_airport,Keglsugl Airport,8400,OC,PG,PG-CPK,Denglagu Mission,AYLG,KEG,AYLG,KEG,"-5.83277777778, 145.097222222"
AYLI,small_airport,Kibuli Airstrip,54,OC,PG,PG-WPD,Kibuli,AYLI,KII,AYLI,KBL,"-9.006528, 142.698056"
AYLL,small_airport,Linga Linga Airport,17,OC,PG,PG-WBK,Linga Linga,AYLL,LGN,AYLL,LLA,"-5.5319444444400006, 149.734166667"
AYLN,small_airport,Langimar Airport,5127,OC,PG,PG-MPL,,AYLN,LNM,AYLN,LNM,"-7.22313888889, 146.227083333"
AYLO,small_airport,Lowai Airport,2900,OC,PG,PG-MPL,Lowai,AYLO,LWI,AYLO,LOW,"-6.3344, 146.6458"
AYLP,small_airport,Leron Plains Airport,680,OC,PG,PG-MPL,Leron Plains,AYLP,LPN,AYLP,LPS,"-6.3917, 146.3434"
AYLS,small_airport,Lese Airport,40,OC,PG,PG-GPK,Lese,AYLS,LNG,AYLS,LESE,"-8.2799, 146.2765"
AYLT,small_airport,Lengbati Airport,5750,OC,PG,PG-MPL,,AYLT,LNC,AYLT,LNG,"-6.384611111110001, 147.368638889"
AYLU,small_airport,Lumi Airport,1750,OC,PG,PG-SAN,Lumi,AYLU,LMI,AYLU,LUMI,"-3.47683951134, 142.041292191"
AYLX,small_airport,Long Island Airport,116,OC,PG,PG-MPM,Long Island,AYLX,LSJ,AYLX,LIS,"-5.3604, 147.0177"
AYMA,small_airport,Manari Airport,2630,OC,PG,PG-CPM,Manari,AYMA,MRM,AYMA,MRI,"-9.1908, 147.6219"
AYMB,small_airport,Morobe Airport,8,OC,PG,PG-MPL,Morobe,AYMB,OBM,AYMB,MBE,"-7.74, 147.59"
AYMC,small_airport,Menyamya Airport,3880,OC,PG,PG-MPL,Menyamya,AYMC,MYX,AYMC,MYY,"-7.21166666667, 146.019361111"
AYMD,medium_airport,Madang Airport,20,OC,PG,PG-MPM,Madang,AYMD,MAG,AYMD,,"-5.20707988739, 145.789001465"
AYMH,medium_airport,Mount Hagen Kagamuga Airport,5388,OC,PG,PG-WHM,Mount Hagen,AYMH,HGU,AYMH,,"-5.828212, 144.299412"
AYMI,small_airport,Mindik Airport,4200,OC,PG,PG-MPL,Mindik,AYMI,MXK,AYMI,MIK,"-6.47166666667, 147.441138889"
AYMJ,small_airport,Makini Airport,2530,OC,PG,PG-MPL,Makini,AYMJ,MPG,AYMJ,MAK,"-6.532222222220001, 147.651166667"
AYML,small_airport,Mougulu Airport,825,OC,PG,PG-WPD,Mougulu,AYML,GUV,AYML,MGU,"-6.280859, 142.420775"
AYMN,medium_airport,Mendi Airport,5680,OC,PG,PG-SHM,Mendi,AYMN,MDU,AYMN,,"-6.14774, 143.656998"
AYMO,medium_airport,Momote Airport,12,OC,PG,PG-MRL,Manus Island,AYMO,MAS,AYMO,,"-2.06189, 147.423996"
AYMP,small_airport,Malalaua Airport,20,OC,PG,PG-GPK,Malalaua,AYMP,MLQ,AYMP,MLU,"-8.07138888889, 146.155472222"
AYMQ,small_airport,Malam Airport,126,OC,PG,PG-WPD,Malam,AYMQ,MQO,AYMQ,MAA,"-8.70916666667, 142.649722222"
AYMR,small_airport,Moro Airport,2740,OC,PG,PG-SHM,Moro,AYMR,MXH,AYMR,,"-6.36332988739, 143.238006592"
AYMS,small_airport,Misima Island Airport,26,OC,PG,PG-MBA,Misima Island,AYMS,MIS,AYMS,,"-10.689200401299999, 152.837997437"
AYMV,small_airport,Malekolon Airport,5,OC,PG,PG-NIK,Babase Island,AYMV,MKN,AYMV,MKO,"-4.02343055556, 153.657277778"
AYMW,small_airport,Marawaka Airport,6050,OC,PG,PG-EHG,Marawaka,AYMW,MWG,AYMW,MWK,"-6.9736, 145.8849"
AYMZ,small_airport,Mapua(Mabua) Airport,40,OC,PG,PG-NIK,Tatau Island,AYMZ,MPU,AYMZ,MBU,"-2.81138888889, 151.991111111"
AYNA,small_airport,Nankina Airport,5800,OC,PG,PG-MPM,Gwarawon,AYNA,NKN,AYNA,NKN,"-5.837, 146.4533"
AYNB,small_airport,Kanabea Airport,4288,OC,PG,PG-GPK,Kanabea,AYNB,KEX,AYNB,KEA,"-7.538888888890001, 145.905"
AYNC,small_airport,Nadunumu Airport,5100,OC,PG,PG-CPM,Nadunumu,AYNC,NDN,AYNC,NDM,"-9.14355555556, 147.68425"
AYND,small_airport,Aua Island Airport,4,OC,PG,PG-MRL,Aua Island,AYND,AUI,AYND,AUA,"-1.46055555556, 143.064722222"
AYNE,small_airport,Negarbo(Negabo) Airport,4500,OC,PG,PG-CPK,Negarbo,AYNE,GBF,AYNE,NBO,"-6.567778, 144.703058"
AYNI,small_airport,Nuguria Airstrip,30,OC,PG,PG-NSB,Nuguria Island,AYNI,NUG,AYNI,NGA,"-3.4075, 154.7383"
AYNJ,small_airport,Namudi Airport,1044,OC,PG,PG-NPP,Namudi,AYNJ,NDI,AYNJ,NAM,"-9.47375, 148.329416667"
AYNM,small_airport,Kasonombe Airport,5800,OC,PG,PG-MPL,Kasonombe,AYNM,KSB,AYNM,KNB,"-6.3819, 146.9859"
AYNN,small_airport,Kandep Airport,7710,OC,PG,PG-EPW,Kandep,AYNN,KDP,AYNN,KDP,"-5.84061111111, 143.507222222"
AYNO,small_airport,Nomane Airport,6032,OC,PG,PG-CPK,Namane,AYNO,NMN,AYNO,NOM,"-6.32183, 145.070667"
AYNS,small_airport,Bunsil Airport,201,OC,PG,PG-MPL,Bunsil - Umboi Island,AYNS,BXZ,AYNS,BSL,"-5.7243, 147.8667"
AYNU,small_airport,Nuku Airport,870,OC,PG,PG-SAN,Nuku,AYNU,UKU,AYNU,NUKU,"-3.676651, 142.484334"
AYNX,small_airport,Namatanai Airport,150,OC,PG,PG-NIK,Namatanai,AYNX,ATN,AYNX,NTI,"-3.6695, 152.438"
AYNY,small_airport,Nambaiyufa Airport,5550,OC,PG,PG-CPK,Nambaiyufa,AYNY,NBA,AYNY,NBF,"-6.2412, 145.2424"
AYNZ,medium_airport,Nadzab Airport,239,OC,PG,PG-MPL,Lae,AYNZ,LAE,AYNZ,,"-6.569803, 146.725977"
